"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency
"podle odstavce",2517
"na území",1651
"rozhodnutí o",1403
"v odstavci",1234
"ode dne",1178
"České republiky",1159
"na základě",1119
"tohoto zákona",1073
"v případě",1043
"Evropské unie",1039
"a to",996
"musí být",970
"ve znění",850
"právního předpisu",831
"povolení k",814
"a o",806
"je povinen",805
"zákona č",738
"řízení o",723
"uvedené v",721
"právní moci",713
"za účelem",713
"v řízení",701
"který je",699
"správce daně",664
"právo na",662
"o tom",659
"pozdějších předpisů",650
"znění pozdějších",647
"uvedených v",646
"nebo b",643
"právnické osoby",636
"pro účely",628
"v době",626
"podle tohoto",610
"dále jen",598
"a v",593
"podle zvláštního",585
"nebo v",570
"zbytečného odkladu",546
"bez zbytečného",538
"správní orgán",537
"s výjimkou",534
"členského státu",522
"po dobu",522
"může být",519
"ve lhůtě",511
"zvláštního právního",504
"podle zákona",503
"v rozsahu",501
"svobody na",493
"v němž",492
"že se",490
"ve kterém",485
"nebo jeho",483
"která je",480
"návrh na",474
"insolvenční soud",472
"které se",469
"nebo c",467
"k pobytu",461
"základního kapitálu",460
"dnů ode",458
"obchodní korporace",456
"má být",451
"o změně",451
"základu daně",451
"Zákon č",450
"pobytu na",445
"jakož i",440
"obchodního rejstříku",440
"nebo jiné",440
"území České",438
"nebo na",432
"v souvislosti",429
"k tomu",425
"předseda senátu",425
"na návrh",421
"do obchodního",421
"o vydání",420
"se pro",419
"zákona o",419
"zadávacího řízení",414
"návrhu na",410
"se na",407
"má právo",407
"valné hromady",402
"bude pachatel",401
"v rozporu",400
"pachatel potrestán",399
"Odnětím svobody",398
"ustanovení o",396
"žádosti o",391
"uvedeným v",390
"které jsou",390
"souvislosti s",388
"se k",386
"za to",385
"právních předpisů",384
"k dlouhodobému",381
"se v",378
"uvedený v",375
"výkonu rozhodnutí",374
"se za",368
"nebo o",364
"bude potrestán",364
"ve výši",363
"nástupnické společnosti",363
"o povolení",359
"ve věci",353
"v souladu",353
"to neplatí",353
"jiného členského",352
"a jeho",350
"se o",348
"dlouhodobému pobytu",346
"na jeho",343
"je v",343
"V případě",341
"moci rozhodnutí",337
"je třeba",337
"ve věcech",334
"v rámci",332
"údaje o",327
"právnická osoba",322
"veřejné zakázky",322
"rozhodnutí soudu",319
"pokud se",317
"nesmí být",317
"rozporu s",316
"nebo jiného",313
"ke dni",313
"insolvenčního řízení",312
"odnětím svobody",310
"a na",310
"odnětí svobody",309
"které je",308
"dnů od",307
"se použije",307
"nebo pro",306
"nejpozději do",306
"pokud je",302
"podle odstavců",301
"daně z",300
"potrestán odnětím",298
"ze dne",296
"společnosti nebo",296
"v průběhu",296
"z důvodu",295
"z příjmů",291
"na dobu",290
"se použijí",289
"trestný čin",289
"právní předpis",284
"nemovité věci",284
"souladu s",284
"oznámení o",284
"i v",284
"i bez",281
"o zrušení",279
"k dani",279
"tento zákon",276
"soudu o",274
"se rozumí",274
"na náhradu",272
"s tím",271
"státu Evropské",271
"trestného činu",269
"státní zástupce",267
"až na",266
"tímto zákonem",265
"v tomto",263
"usnesení o",262
"správního orgánu",261
"za podmínek",261
"podle jiného",259
"v trestním",259
"nebo d",259
"majetkové podstaty",259
"nárok na",257
"účely tohoto",256
"zahájení řízení",256
"jde o",255
"se považuje",254
"že je",254
"trestním řízení",253
"výkon rozhodnutí",252
"nebo jiný",252
"z nich",252
"odpočet daně",250
"kterým se",248
"jiného právního",247
"stavební úřad",247
"doklad o",247
"je oprávněn",246
"trvalému pobytu",245
"takový čin",244
"týkající se",243
"v tuzemsku",241
"rozhodnutí podle",240
"nebo k",240
"čin uvedený",240
"může soud",239
"řízení podle",238
"územního rozvoje",238
"České republice",238
"nebo je",238
"veřejné moci",235
"insolvenční správce",235
"podmínky pro",234
"svobody až",234
"práv a",233
"v důsledku",233
"žádost o",230
"až do",229
"po uplynutí",228
"řízení a",228
"uzavření smlouvy",228
"zdaňovací období",228
"považuje za",227
"údaj o",227
"let bude",226
"rozhodnutí nebo",226
"insolvenčního správce",224
"v jehož",223
"na žádost",223
"o jeho",223
"který byl",223
"právním předpisem",223
"v České",222
"kdy se",222
"v oboru",221
"do výše",220
"od daně",220
"na odpočet",219
"zastupitelstva obce",219
"se řídí",219
"k výkonu",218
"k jeho",217
"k trvalému",216
"takovém případě",216
"z důvodů",214
"při výkonu",214
"práva a",212
"řízení před",209
"a k",209
"ve prospěch",209
"cenných papírů",208
"platí obdobně",208
"která se",207
"podle věty",207
"která má",207
"práva na",206
"a je",206
"rozhodne o",205
"podle zvláštních",205
"věty první",205
"od smlouvy",205
"platí i",204
"se nepoužije",204
"právnických osob",203
"takovým činem",202
"trestního zákoníku",202
"do veřejného",202
"a jejich",202
"pobytu za",202
"změně některých",202
"k podání",202
"který se",202
"delší než",201
"nabytí právní",201
"vzhledem k",201
"v insolvenčním",200
"Správce daně",199
"ručením omezeným",198
"v jiném",198
"dvě léta",198
"s ručením",197
"na dvě",197
"a b",196
"o úpadku",196
"v případech",196
"o udělení",195
"tři léta",194
"daně podle",194
"občana Evropské",194
"a jiné",193
"výkonu trestu",193
"na zápis",193
"prvního stupně",192
"na povolení",192
"nebo z",192
"i na",189
"v této",189
"právními předpisy",189
"unie nebo",189
"v rozhodnutí",188
"trestu odnětí",188
"místo a",188
"nebo se",188
"pro podání",187
"zákona upravujícího",186
"kterou se",186
"přípravném řízení",186
"v oblasti",185
"fyzická osoba",184
"zvýšení základního",184
"před soudem",183
"měsíců ode",183
"aby se",183
"a povinnosti",183
"členském státě",182
"uvedeného v",181
"řízení nebo",181
"stanoveno jinak",180
"zvláštních právních",180
"a jiných",179
"zákon č",179
"bez návrhu",179
"musí obsahovat",179
"jeden rok",179
"na zdraví",178
"daně v",177
"se nepřihlíží",177
"trestního stíhání",176
"činem uvedeným",176
"ve stanovené",176
"To neplatí",176
"společnosti s",175
"a c",175
"stanovené lhůtě",175
"to i",175
"zástavního práva",174
"se souhlasem",174
"o schválení",174
"proti rozhodnutí",174
"fyzické osoby",174
"správci daně",173
"jen tehdy",172
"s ním",172
"právo k",172
"léta až",172
"podání žádosti",172
"znění zákona",172
"i pro",171
"o zahájení",171
"v přípravném",171
"statutárního orgánu",170
"v jakém",169
"a další",168
"pro sebe",168
"sebe nebo",167
"o prohlášení",167
"jestliže a",167
"vydání rozhodnutí",167
"něco jiného",167
"podmínek stanovených",167
"z přidané",167
"náhradu škody",167
"i když",166
"k tomuto",165
"územního plánu",165
"se jedná",165
"v takovém",165
"Proti rozhodnutí",163
"jiné osoby",163
"škody nebo",163
"přidané hodnoty",163
"odkladný účinek",163
"pro výkon",162
"pro jiného",162
"z jiného",162
"některých zákonů",162
"obchodní korporaci",161
"do doby",161
"s uvedením",161
"použije obdobně",161
"rodné číslo",160
"Evropského parlamentu",160
"uvedenou v",159
"ve vztahu",159
"ve veřejném",159
"nařízení výkonu",159
"zákazem činnosti",159
"státního zástupce",158
"dodání zboží",158
"praxe v",158
"nebo jiným",158
"vrácení daně",157
"v úmyslu",157
"použijí obdobně",157
"životní prostředí",157
"o to",156
"zdaňovacího období",156
"je cizinec",155
"oprávnění k",154
"právní formy",154
"smlouvy o",153
"vlivů na",153
"a Rady",153
"které mají",153
"Rozhodnutí o",153
"vydání povolení",153
"parlamentu a",153
"práva k",152
"cenný papír",152
"se postupuje",152
"které byly",152
"mohou být",151
"Návrh na",151
"pro vydání",151
"o zajištění",150
"za mrtvého",150
"zákon jinak",150
"u soudu",150
"pro případ",150
"pobytu nad",149
"uvedená v",149
"pět let",149
"prohlášení o",149
"mají být",148
"po kterou",148
"jedná o",148
"poskytnutí služby",148
"zákon o",148
"a s",147
"dohody o",147
"na tři",147
"zástavní právo",146
"nebo ve",146
"nároku na",145
"zdanitelného plnění",145
"obchodní společnosti",145
"měsíců od",145
"na kterou",144
"o vině",144
"popřípadě jména",144
"a pro",144
"a za",144
"akciové společnosti",144
"likvidační podstaty",144
"který má",144
"nebo e",143
"že by",143
"na životní",142
"velkého rozsahu",142
"k zajištění",142
"šest měsíců",142
"který není",142
"na jeden",142
"identifikační číslo",141
"spojené s",141
"se podle",141
"let nebo",141
"se vztahuje",141
"nebo s",141
"místa pobytu",141
"let od",141
"právní jednání",140
"vlastnické právo",140
"spolu s",139
"má se",139
"To platí",139
"nebo za",139
"zdaňovacím období",138
"právnickou osobu",138
"průkazu o",138
"o návrhu",137
"vztahu k",137
"jehož obvodu",137
"pro které",137
"se může",137
"zboží nebo",136
"veřejného rejstříku",136
"zanikající společnosti",136
"ke změně",136
"nebo že",136
"insolvenčním řízení",136
"přede dnem",136
"z prodlení",135
"to v",135
"státu nebo",135
"zákona rozumí",135
"a není",135
"členských států",135
"uplynutí lhůty",135
"řízení se",134
"daňové přiznání",134
"fyzických osob",133
"které by",133
"regulačního plánu",132
"snížení základního",132
"nebo jejich",132
"o nařízení",131
"až po",131
"u něhož",131
"zástupce nebo",131
"která byla",130
"právním řádem",130
"základ daně",130
"policejní orgán",130
"cenného papíru",130
"od doručení",130
"v něm",129
"zdanitelné plnění",129
"se stanoví",129
"na účet",129
"jestliže se",129
"právního jednání",129
"bezdůvodného obohacení",129
"trestní stíhání",129
"a pokud",128
"pracovního poměru",128
"kalendářního roku",128
"společného jmění",128
"se při",128
"po skončení",128
"trestným činem",128
"v zahraničí",128
"jako by",127
"a trestu",127
"považuje se",127
"členské schůze",127
"je možné",127
"vlastnického práva",127
"hmotného majetku",127
"územně plánovací",127
"právnické osobě",127
"kdo je",126
"i tehdy",126
"Ústavní soud",126
"z území",126
"nebo více",126
"rozhodnout o",126
"činnosti nebo",125
"trestné činnosti",125
"dále stanoveno",125
"mzdy nebo",125
"podání návrhu",125
"na místě",125
"němž je",124
"podle ustanovení",124
"insolvenčního soudu",124
"potvrzení o",124
"zvláštního zákona",124
"se sídlem",124
"vliv na",123
"jen na",123
"je příslušný",122
"tato osoba",122
"nebo do",121
"může se",121
"s výkonem",121
"a dále",121
"došlo k",120
"plátce daně",120
"na požádání",120
"na dani",120
"pracovních dnů",120
"svěřenského fondu",120
"datum narození",120
"cenné papíry",120
"zúčastněné na",119
"v níž",119
"zadávacím řízení",119
"nebo družstva",119
"vině a",119
"nebo platu",119
"právního řádu",119
"pro který",118
"na zisku",118
"úřední desce",118
"nebo jinou",118
"které bylo",118
"v jeho",117
"se s",117
"občanského soudního",117
"závažným způsobem",117
"spojených s",117
"na které",117
"při práci",117
"soudního řádu",116
"Ústavního soudu",116
"na jehož",116
"zásad územního",116
"orgánu veřejné",116
"Správní orgán",116
"s jeho",115
"o správním",115
"Žádost o",115
"reorganizačního plánu",115
"pouze v",114
"účetní závěrky",114
"k jejich",114
"správě daní",114
"Pokud je",114
"zvláštní zákon",114
"lhůta pro",114
"ohledem na",114
"na vydání",114
"informace o",114
"zda je",114
"veřejné správy",114
"řízení ve",113
"na zahájení",113
"podle písmene",113
"zadávací dokumentaci",113
"před zahájením",113
"u kterého",113
"veřejného seznamu",113
"lhůty pro",113
"kterou je",113
"nebo jiných",112
"se nepoužijí",112
"správním vyhoštění",112
"je povinna",112
"republiky a",112
"v cizině",112
"se nevztahuje",112
"z výkonu",112
"a nerozdílně",112
"použijí se",111
"veřejných zakázek",111
"na jejich",111
"z tohoto",111
"kratší než",111
"o pozůstalosti",111
"daňový subjekt",111
"Soud může",111
"že a",111
"V řízení",111
"daně a",111
"cestovního dokladu",111
"není třeba",111
"nevztahuje na",111
"veřejnou zakázku",110
"soudu nebo",110
"převodu jmění",110
"na šest",110
"tím není",110
"jiném členském",110
"se do",110
"zápis do",110
"území a",110
"o jejich",110
"provozování živnosti",110
"informačního systému",110
"do spisu",110
"podíl na",109
"ustanovení tohoto",109
"vyplývající z",109
"výkonu práce",109
"o ochraně",109
"to platí",109
"kde se",109
"nemůže být",108
"nakládání s",108
"s ohledem",108
"nebo její",108
"řízení v",108
"zařízením akreditovaným",108
"hospodářský prostor",108
"Evropský hospodářský",108
"jen v",108
"o prodloužení",107
"soud na",107
"nebo jinému",107
"do seznamu",107
"insolvenčnímu správci",107
"cestovní doklad",107
"dálkový přístup",107
"tohoto rozhodnutí",107
"jestliže je",107
"podílu na",107
"dozorčí rady",107
"nebo propadnutím",106
"stanovení daně",106
"může podat",106
"společně a",106
"která není",106
"rozhoduje o",106
"více než",106
"pokud jde",106
"řízení je",106
"z těchto",106
"pracovní doby",106
"z manželů",105
"před uplynutím",105
"právnickou osobou",105
"o způsobu",105
"v prvním",105
"až pět",105
"zdraví při",105
"Ustanovení odstavce",105
"předběžného opatření",105
"a povinností",104
"postupuje podle",104
"společenská smlouva",104
"osm let",104
"bezpečnosti a",104
"k němuž",104
"k němu",104
"pro kterou",104
"mimo území",104
"pro jeho",104
"zprávy o",104
"Pro účely",104
"ze smlouvy",104
"dobu delší",103
"občanského zákoníku",103
"a z",103
"deset let",103
"ES ze",103
"vydání bezdůvodného",103
"na úřední",103
"jako člen",103
"prohlášení za",103
"prohlášení konkursu",102
"základní kapitál",102
"veřejnoprávní smlouvy",102
"není dotčeno",102
"opatření k",102
"nebo jiná",101
"správním orgánem",101
"jméno a",101
"elektronické podobě",101
"o výkonu",101
"Jestliže se",101
"Zvláštní ustanovení",101
"nebo zákazem",101
"městské části",101
"je k",101
"z evidence",101
"postupem podle",101
"je to",101
"v nichž",101
"nebo při",101
"měsíců až",101
"může v",100
"obchodního závodu",100
"se doručuje",100
"dnů za",100
"rozhodnutí a",100
"a d",100
"až osm",100
"se má",100
"v místě",100
"rozhodování o",100
"být v",100
"organizované skupiny",99
"rozhodnutím o",99
"souladu se",99
"byl v",99
"související s",99
"jako den",99
"a že",99
"podmínek uvedených",99
"zvláštní právní",99
"hotových výdajů",99
"je přípustná",99
"které má",99
"V takovém",99
"a které",99
"způsobem umožňujícím",98
"se vyžaduje",98
"pokud není",98
"nebo pokud",98
"k návrhu",98
"do jednoho",98
"stanovené v",98
"nebo podle",98
"z nedbalosti",98
"schůze věřitelů",98
"soudu prvního",98
"a u",98
"povinen předložit",98
"plnění v",98
"a při",98
"k provedení",97
"Zadavatel může",97
"jež má",97
"se podává",97
"rodinného příslušníka",97
"řízení s",97
"nabytí účinnosti",97
"pokud a",97
"dobu trvání",97
"o zastavení",96
"a příjmení",96
"tomto zákoně",96
"roky praxe",96
"zanikající nebo",96
"v tom",96
"soud v",96
"bylo rozhodnuto",96
"životního prostředí",96
"pracovní poměr",96
"jiným způsobem",96
"příjmů z",96
"Řízení o",96
"na úhradu",96
"společnost nebo",96
"že byl",96
"do konce",96
"použije se",96
"valnou hromadu",95
"republiky nebo",95
"než je",95
"za zdaňovací",95
"však do",95
"v odstavcích",95
"smlouvy nebo",95
"se však",95
"osoby a",95
"vlastních rukou",95
"Má se",95
"společně s",95
"příjmení a",95
"jiná osoba",95
"tuto skutečnost",95
"za přestupek",95
"jmění manželů",94
"s tímto",94
"a způsob",94
"majetku a",94
"týkajících se",94
"odkladu po",94
"zajištění a",94
"po dni",94
"do jiného",94
"od právní",93
"majetkovou podstatou",93
"státnímu zástupci",93
"modré karty",93
"kdy je",93
"za které",93
"valná hromada",93
"jeho části",93
"lze podat",93
"odpočtu daně",93
"v elektronické",93
"společností a",93
"soud o",93
"na vrácení",93
"povolení oddlužení",92
"přípustná stížnost",92
"správního soudu",92
"osoby zúčastněné",92
"k věci",92
"správnímu orgánu",92
"případ smrti",92
"ochrany zdraví",92
"fúze do",92
"do zahraničí",92
"pokud jsou",92
"umožňujícím dálkový",92
"v zadávací",92
"ve které",92
"věci samé",92
"s ní",91
"přeshraniční přeměně",91
"opravy základu",91
"dne doručení",91
"požadavky na",91
"vstupu na",91
"přiznat daň",91
"rozdělované společnosti",91
"dnů po",91
"trest odnětí",91
"státní občanství",91
"movité věci",91
"společnosti a",91
"o přestupku",91
"nemajetkové újmy",91
"a místo",91
"správního řádu",90
"v zadávacím",90
"Nejvyššího správního",90
"má odkladný",90
"po sobě",90
"a e",90
"až c",90
"rámcové dohody",90
"člen organizované",90
"důvodů uvedených",90
"v písemné",90
"Obecná ustanovení",90
"právní formu",90
"rozhodnutí ve",90
"komanditní společnosti",90
"s nimi",90
"notářský zápis",89
"z nichž",89
"o rozdělení",89
"a ochrany",89
"adresa místa",89
"daňové povinnosti",89
"o vrácení",89
"s přihlédnutím",89
"o návrh",89
"senátu a",89
"a ve",89
"mládeže a",89
"notářského zápisu",88
"prvním stupni",88
"a datum",88
"k rozhodnutí",88
"splněny podmínky",88
"písemné formě",88
"a tělovýchovy",88
"které nejsou",88
"trestního řízení",88
"daně se",88
"usnesení valné",88
"újmu na",88
"o nichž",88
"je pro",88
"příslušný orgán",88
"ve smlouvě",88
"na řízení",88
"důvody pro",88
"nebo f",87
"stanoví prováděcí",87
"správní rady",87
"pobytu podle",87
"výkonu funkce",87
"rok až",87
"soud rozhodne",87
"zabezpečovací detence",87
"a dalších",87
"zcela nebo",87
"rozhodnutí se",87
"účasti na",87
"věci a",87
"je předmětem",87
"osoby nebo",87
"osoby uvedené",86
"zvláštním právním",86
"závislé činnosti",86
"přihlédnutím k",86
"a současně",86
"mezinárodní smlouvy",86
"nebo rozhodnutí",86
"věci nebo",86
"Česká republika",86
"a rozhodnutí",86
"obdobně podle",86
"Zaměstnavatel je",86
"jiný právní",86
"účinnosti tohoto",86
"je podle",86
"orgánu nebo",85
"Insolvenční soud",85
"až deset",85
"v jaké",85
"převedeného zaměstnance",85
"v penězích",85
"smlouvu o",85
"stanovených v",85
"o něm",85
"ohledu na",85
"do vlastních",85
"ze mzdy",85
"mají právo",85
"v období",85
"vnitropodnikově převedeného",85
"trvalého pobytu",85
"přestupek podle",85
"o majetku",85
"splnění podmínek",85
"nákladů na",84
"z jeho",84
"na přeměně",84
"insolvenční návrh",84
"se mu",84
"aby mu",84
"bez ohledu",84
"obchodních společností",84
"tyto údaje",84
"činnosti a",84
"přiměřeně ustanovení",84
"zákon stanoví",84
"náklady spojené",83
"nejpozději však",83
"zprávu o",83
"údajů o",83
"cizinec povinen",83
"nákladů řízení",83
"kterých se",83
"v zájmu",83
"je zaměstnavatel",83
"do dne",83
"právní poměry",83
"z hlediska",83
"moci usnesení",83
"že v",83
"ze závislé",83
"výkonu práv",82
"insolvenčnímu soudu",82
"rozdíl mezi",82
"kontrolní komise",82
"o odvolání",82
"na to",82
"za podmínky",82
"správcem daně",82
"zaměstnanecké karty",82
"jehož je",82
"z moci",82
"moci úřední",82
"v seznamu",82
"do tří",81
"účastnických cenných",81
"pobytu nebo",81
"prováděcí právní",81
"rozhodne soud",81
"států Evropské",81
"nebo po",81
"rozporu se",81
"zákona a",81
"zaměstnavatel povinen",80
"veřejné obchodní",80
"nebo jinak",80
"některý z",80
"značný prospěch",80
"nebo nemajetkové",80
"odvolání proti",80
"následujícího po",80
"příslušného orgánu",80
"se obdobně",80
"léta nebo",80
"která by",80
"tomuto zákonu",80
"daň z",80
"státní správy",80
"osvědčení o",80
"o zvýšení",79
"datum nabytí",79
"bez souhlasu",79
"jeden z",79
"jsou povinni",79
"o a",79
"pokud by",79
"cizince na",79
"hospodářské soutěže",79
"kterém se",79
"o tomto",79
"obecně prospěšných",79
"přenesené působnosti",79
"za neplatné",79
"o cizince",79
"k odstranění",79
"dani podle",79
"tří měsíců",78
"právní předpisy",78
"vzdělání s",78
"stavební práce",78
"organizační složky",78
"dobré víře",78
"soudu a",78
"lhůtě do",78
"této lhůty",78
"v dobré",78
"o určení",78
"s právními",78
"nebo jestliže",78
"v oznámení",78
"a její",78
"oboru vzdělání",78
"na uspokojení",78
"podání nabídek",78
"vztahující se",78
"daně je",78
"příjmy z",78
"sídlo nebo",78
"let ode",78
"a stát",78
"víza k",77
"o právu",77
"rozhodnuto o",77
"zúčastněných společností",77
"povinná k",77
"jsou v",77
"Směrnice Evropského",77
"daně nebo",77
"do jehož",77
"je trestná",77
"nebo poskytnutí",77
"území nebo",77
"do řízení",77
"pokud to",77
"nestanoví jinak",77
"rozhodnutí v",77
"zákonem nebo",77
"o rozhodnutí",77
"vyplývajících z",77
"na pět",76
"těžkou újmu",76
"o žádosti",76
"nebo rozdělované",76
"tohoto trestu",76
"kolektivní správce",76
"zúčastněné společnosti",76
"katastru nemovitostí",76
"v příloze",76
"toto právo",76
"obdobně ustanovení",76
"jednoho z",76
"použijí přiměřeně",76
"nebo zčásti",76
"veřejném zasedání",76
"nebo u",76
"rozhodl o",76
"nebo má",76
"a jde",76
"je součástí",76
"krajský úřad",76
"městského obvodu",76
"Právo na",76
"úřední osoba",76
"nebo kdo",75
"zda se",75
"v obchodním",75
"i o",75
"kterým bylo",75
"užívání stavby",75
"lhůtu k",75
"jeho žádost",75
"obvodu nebo",75
"prezidenta republiky",75
"o provedení",75
"měsíce ode",75
"činný v",75
"Příprava je",75
"k plnění",75
"účelem strpění",74
"jednoho roku",74
"bylo vydáno",74
"zákon nestanoví",74
"pro stanovení",74
"se ve",74
"Jestliže je",74
"shromáždění delegátů",74
"valné hromadě",74
"nebo byl",74
"právní zájem",74
"a podle",74
"veřejný pořádek",74
"zákona nebo",74
"některé z",74
"nižší než",74
"o účast",74
"také tehdy",74
"do úschovy",74
"postupu podle",74
"za úplatu",74
"stanovených tímto",73
"se ustanovení",73
"povinen podat",73
"samostatné působnosti",73
"při správě",73
"o této",73
"zaměřeném na",73
"zastavení trestního",73
"kteří jsou",73
"věřitelského výboru",73
"daňového subjektu",73
"daňového přiznání",73
"nebo městské",73
"lze uložit",73
"k ochraně",73
"unie a",73
"podat návrh",73
"nichž je",73
"nebo osoba",73
"pro to",73
"o věci",73
"poskytování služeb",73
"o dítě",73
"a okres",73
"movitých věcí",73
"jiného státu",73
"řízení zastaví",73
"práva nebo",72
"kalendářním roce",72
"územního rozhodnutí",72
"stavebního úřadu",72
"povinnost podle",72
"výzkumu a",72
"kterým je",72
"společností nebo",72
"oprávněn podat",72
"třetí osoby",72
"němž se",72
"příslušníka občana",72
"území na",72
"Směrnice Rady",72
"řešení úpadku",72
"ve zdaňovacím",72
"jiných osob",72
"ke kterému",72
"na tom",72
"pobývá na",72
"HLAVA I",72
"střední vzdělání",72
"není v",72
"odvolací soud",72
"kdy byl",72
"na přeshraniční",72
"zdravotním pojištění",72
"zahájení zadávacího",72
"po právní",71
"dohodu o",71
"pro zápis",71
"které mu",71
"z účtu",71
"podle právního",71
"předběžné opatření",71
"nebo družstvo",71
"řízení státní",71
"na ochranu",71
"se přiměřeně",71
"kalendářní rok",71
"HLAVA II",71
"peněžitým trestem",71
"z toho",71
"příslušný k",71
"třetí osobě",71
"podat odvolání",71
"předkupní právo",71
"strpění pobytu",71
"podle čl.",71
"jímž se",71
"nebo i",71
"se týká",70
"nebo osoby",70
"o fúzi",70
"rozsahu a",70
"čin v",70
"do likvidační",70
"zastavení řízení",70
"a udržení",70
"propadnutím majetku",70
"jsou povinny",70
"o vyloučení",70
"při provádění",70
"se tato",70
"zahájení insolvenčního",70
"vysokoškolské vzdělání",70
"zahraničních věcí",70
"vkladové povinnosti",70
"živnostenský úřad",70
"je a",70
"insolvenčního návrhu",70
"řízení na",70
"v den",70
"Základní ustanovení",70
"není dotčena",70
"němž má",70
"pokud v",70
"jiného zákona",70
"pro řízení",69
"všech zúčastněných",69
"k závodu",69
"proti němu",69
"vyšší než",69
"platí pro",69
"insolvenčním rejstříku",69
"trestní řízení",69
"zdravotních služeb",69
"příjmů právnických",69
"ve formě",69
"při rozdělení",69
"v katastru",69
"nástupnická společnost",69
"škodu nebo",69
"dlouhodobého víza",69
"jednání nebo",69
"k povaze",69
"k náhradě",69
"platnosti povolení",69
"stavby a",69
"své povinnosti",69
"O tom",69
"Ministerstvem školství",69
"ve kterých",69
"na její",69
"válečného stavu",68
"zákon nebo",68
"má sídlo",68
"ve vlastnictví",68
"do katastru",68
"o které",68
"sbírky listin",68
"do majetkové",68
"může na",68
"a po",68
"propadnutím věci",68
"pravidla pro",68
"prospěch velkého",68
"to možné",68
"projektu rozdělení",68
"jiného značný",68
"o odborné",68
"notářské úschovy",68
"náhradu nákladů",68
"Insolvenční správce",68
"do evidence",68
"a vývoje",68
"k okolnostem",68
"postupuje se",68
"napadené rozhodnutí",68
"k jejímu",68
"Předseda senátu",68
"věty druhé",68
"Ministerstvo vnitra",67
"kdy bylo",67
"o žalobě",67
"Stavební úřad",67
"závodu nebo",67
"se provede",67
"nebo které",67
"Ustanovení o",67
"a družstev",67
"nemovitých věcí",67
"ze seznamu",67
"příloze č",67
"je daňovým",67
"a bydliště",67
"předmětem daně",67
"obvyklý pobyt",67
"odpovědnosti za",67
"Kolektivní správce",67
"lhůtě podle",67
"to na",67
"majetku nebo",67
"plnění z",67
"K žádosti",67
"správního místa",67
"peněžní prostředky",67
"po zápisu",67
"jeho zástupce",67
"obchodního majetku",67
"osob a",66
"vyhodnocení vlivů",66
"zákona se",66
"zboží a",66
"trestných činů",66
"hromady o",66
"některého z",66
"na věci",66
"obecního úřadu",66
"této lhůtě",66
"jiného prospěch",66
"nepřihlíží se",66
"v zařízení",66
"území členských",66
"rozdělení do",66
"souvislosti se",66
"pokud nejsou",66
"na výzvu",66
"místem plnění",66
"že na",66
"ve státě",66
"územního plánování",66
"tomto případě",66
"stavu ohrožení",66
"nebo který",66
"tomuto rozhodnutí",66
"může insolvenční",66
"sobě jdoucích",66
"co se",66
"zúčastněných na",66
"ze zajištění",66
"s jiným",66
"pokud byl",66
"ze které",66
"po zahájení",66
"právo nebo",66
"došlo ke",65
"společenství vlastníků",65
"kolektivního správce",65
"povinnost přiznat",65
"jehož působnosti",65
"třetích osob",65
"se zřetelem",65
"ledaže se",65
"schválení oddlužení",65
"o povinnosti",65
"odkladu poté",65
"osoby se",65
"trestem bude",65
"zákonného zástupce",65
"projektu fúze",65
"daňový doklad",65
"změny právní",65
"odůvodněných případech",65
"o podmíněném",65
"pouze na",65
"činem pro",65
"nezbytné pro",65
"osoba se",65
"porušení povinnosti",65
"a sídlo",65
"a doplnění",65
"služby v",64
"postup při",64
"je ve",64
"povolení reorganizace",64
"kdo se",64
"a nelze",64
"v pracovním",64
"pojistné plnění",64
"rozvoj území",64
"cennými papíry",64
"zákonem a",64
"i po",64
"této části",64
"není povinen",64
"o jejím",64
"jednoho správního",64
"úřední osoby",64
"a musí",64
"a osoby",64
"zástupce a",64
"věci v",64
"na náklady",64
"z jiných",64
"jiné osobě",64
"Nejvyšší soud",64
"celou dobu",64
"prospěšných prací",64
"stavebního záměru",64
"k projednání",64
"k vydání",63
"sazby daně",63
"práce nebo",63
"lze uplatnit",63
"zejména a",63
"regulovaném trhu",63
"právního nástupce",63
"sobě nebo",63
"dopravního prostředku",63
"pro jejich",63
"poštovních služeb",63
"v jiné",63
"obecné povahy",63
"u nichž",63
"že k",63
"odstoupení od",63
"se oznamuje",63
"i k",63
"uvedenými v",63
"peněžních prostředků",63
"bydliště nebo",63
"jednání a",63
