"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency
"uvedený v odstavec",1184
"zvláštní právní předpis",922
"znění pozdní předpis",635
"v znění pozdní",628
"podle zvláštní právní",622
"bez zbytečný odklad",540
"jiný členský stát",515
"podle tento zákon",514
"pobyt na území",484
"odnětí svoboda na",480
"den ode den",474
"jiný právní předpis",451
"stát evropský unie",444
"území český republika",435
"čin uvedený v",433
"v souvislost s",427
"členský stát evropský",426
"být pachatel potrestat",394
"do obchodní rejstřík",382
"v rozpor s",378
"povolení k dlouhodobý",375
"v soulad s",353
"na území český",348
"právní moc rozhodnutí",346
"k dlouhodobý pobyt",345
"právo a povinnost",313
"a o změna",310
"se pro účel",306
"potrestat odnětí svoboda",293
"být potrestat odnětí",291
"osoba uvedený v",289
"občan evropský unie",288
"trest odnětí svoboda",287
"v jenž být",279
"o povolení k",264
"společnost nebo družstvo",264
"osoba zúčastněný na",264
"který být v",263
"měsíc ode den",262
"léto být pachatel",260
"pro účel tento",254
"který mít být",252
"se použít obdobně",249
"daň z příjem",242
"v trestní řízení",242
"svoboda až na",232
"odnětí svoboda až",231
"se za ten",229
"žádost o vydání",227
"podle jiný právní",225
"v český republika",219
"v řízení o",219
"nárok na odpočet",219
"účel tento zákon",218
"v takový případ",217
"na odpočet daň",215
"účastník zadávací řízení",215
"orgán veřejný moc",214
"nabytí právní moc",214
"i v případ",213
"rozhodnutí soud o",212
"k trvalý pobyt",209
"zvýšení základní kapitál",206
"mít se za",204
"o změna některý",204
"společnost s ručení",202
"s ručení omezený",201
"pobyt za účel",193
"podle zákon o",192
"evropský unie nebo",191
"povolení k pobyt",191
"dlouhodobý pobyt za",190
"návrh na zápis",188
"na dva léto",188
"podmínka uvedený v",186
"pro který být",185
"osoba povinný k",183
"průkaz o povolení",180
"v přípravný řízení",180
"povinný k daň",180
"se považovat za",178
"povolení k trvalý",178
"rozhodnutí o úpadek",177
"soud první stupeň",177
"činný v trestní",175
"a ten i",175
"se jednat o",175
"orgán činný v",174
"rozhodnutí podle odstavec",173
"podle věta první",173
"mít právo na",171
"v který být",169
"podle zákon upravující",169
"mzda nebo plat",169
"v znění zákon",168
"zaknihovaný cenný papír",166
"návrh na povolení",165
"daň z přidaný",165
"znění zákon č",164
"z přidaný hodnota",163
"oprava základ daň",163
"i bez návrh",163
"ten platit i",162
"náklad spojený s",160
"v stanovený lhůta",160
"nařízení výkon rozhodnutí",159
"moc rozhodnutí o",158
"nebo pro jiný",157
"ten být dotčen",155
"vydání povolení k",155
"parlament a rada",152
"pro sebe nebo",150
"evropský parlament a",150
"stanovený tento zákon",149
"v vztah k",149
"zásada územní rozvoj",146
"k pobyt nad",146
"důvod uvedený v",145
"sebe nebo pro",145
"lhůta pro podání",144
"ustanovení tento zákon",144
"právo na náhrada",143
"se vztahovat na",141
"změna právní forma",140
"prováděcí právní předpis",140
"změna některý zákon",139
"na tři léto",138
"člen zastupitelstvo obec",138
"vlastnický právo k",138
"na životní prostředí",138
"vysoký správní soud",138
"na jeden rok",137
"a ten v",136
"v jehož obvod",135
"snížení základní kapitál",135
"podat návrh na",135
"pokud jít o",134
"účastnický cenný papír",134
"o vydání povolení",134
"nebo jeho část",134
"tento zákon rozumět",133
"proti rozhodnutí o",133
"údaj o ten",132
"na náhrada škoda",132
"náhrada škoda nebo",132
"za podmínka stanovený",132
"občanský soudní řád",131
"veřejný obchodní společnost",131
"evropský hospodářský prostor",129
"který být předmět",128
"rodinný příslušník občan",127
"příslušník občan evropský",125
"zahájení insolvenční řízení",125
"v řízení před",125
"v insolvenční řízení",123
"rok praxe v",123
"z důvod uvedený",123
"řízení před soud",123
"mít odkladný účinek",121
"člen statutární orgán",121
"předpis evropský unie",121
"praxe v obor",120
"vina a trest",119
"zvláštní ustanovení o",118
"o vina a",118
"na který se",118
"usnesení valný hromada",117
"a v přípravný",117
"podle zvláštní zákon",115
"český republika nebo",113
"poplatník uvedený v",113
"být uvést v",113
"český republika a",113
"případ uvedený v",113
"s ohled na",112
"podání žádost o",111
"společník nebo člen",111
"dohoda o vina",111
"o návrh na",111
"na který být",111
"návrh na zahájení",110
"společně a rozdílně",110
"daleko stanovit jinak",110
"se použít přiměřeně",110
"v jiný členský",109
"na šest měsíc",109
"o správní vyhoštění",109
"právní předpis upravující",108
"do veřejný rejstřík",108
"adresa místo pobyt",108
"nabýt právní moct",108
"tento zákon nebo",107
"jenž mít být",107
"újma na zdraví",106
"bezpečnost a ochrana",106
"v jenž mít",106
"na úřední deska",106
"nástupnický společnost nebo",106
"podání návrh na",105
"takový čin v",105
"ochrana zdraví při",105
"až pět léto",105
"územní samosprávný celek",105
"vydání bezdůvodný obohacení",104
"vliv na životní",104
"a ochrana zdraví",103
"u jenž být",103
"doba dlouhý než",103
"být v rozpor",102
"tvořící evropský hospodářský",102
"nebo majetkový újma",102
"zanikající nebo rozdělovaný",102
"ES z den",101
"škoda nebo majetkový",101
"rozhodnutí v věc",101
"svoboda na dva",101
"cizinec na území",101
"zdraví při práce",100
"oznámení o zahájení",100
"tento zákon a",100
"podíl na zisk",100
"šest měsíc až",100
"stát tvořící evropský",100
"do veřejný seznam",99
"den za účel",99
"sleva na daň",99
"obchodní společnost a",98
"svoboda na šest",98
"řízení v věc",98
"nebo zákaz činnost",98
"občan český republika",98
"po právní moc",98
"na zahájení řízení",98
"na valný hromada",97
"organizační složka stát",97
"vztahující se k",97
"moc rozhodnutí soud",97
"člen organizovaný skupina",96
"dva léto až",96
"až osm léto",96
"městský obvod nebo",95
"soud o prohlášení",95
"v zadávací dokumentace",94
"z jiný členský",94
"platnost povolení k",94
"podnikající fyzický osoba",93
"který být daňový",93
"za zdaňovací období",93
"léto až osm",93
"vstup na území",93
"na doba určitý",93
"společný jmění manžel",93
"do vlastní ruka",92
"od právní moc",92
"v elektronický podoba",92
"řízení o pozůstalost",92
"státní zástupce nebo",92
"výkon trest odnětí",92
"pro případ smrt",92
"nebo městský část",92
"směrnice evropský parlament",91
"až na dva",91
"český národní banka",91
"umožňující dálkový přístup",91
"způsob umožňující dálkový",91
"zbytečný odklad po",91
"zaměstnavatel být povinen",91
"s přihlédnutí k",90
"v zadávací řízení",90
"obvod nebo městský",90
"být přípustný stížnost",90
"ode den doručení",90
"nebo jiný osoba",90
"jako člen organizovaný",89
"výzkum a vývoj",89
"právní moc usnesení",89
"v rozhodnutí o",88
"usnesení o nařízení",88
"podle písmeno a",88
"v první stupeň",88
"těžký újma na",87
"v tento případ",87
"územně plánovací dokumentace",87
"přímo použitelný předpis",87
"jméno a příjmení",87
"zákon stanovit jinak",87
"mládež a tělovýchova",86
"jeden rok až",86
"v písemný forma",86
"lhůta podle odstavec",86
"právní řád stát",86
"údaj uvedený v",86
"soud na návrh",86
"podle právní předpis",85
"v který se",85
"pobývat na území",85
"vnitropodnikově převedený zaměstnanec",85
"který se týkat",84
"území členský stát",84
"vydání rozhodnutí o",84
"použitelný předpis evropský",84
"o prohlášení za",84
"orgán právnický osoba",84
"bez ohled na",84
"z závislý činnost",84
"datum nabytí právní",84
"den nabytí účinnost",83
"přechodný pobyt na",83
"zahájení zadávací řízení",83
"zúčastněný na přeshraniční",83
"k žádost o",83
"být cizinec povinen",83
"účinnost tento zákon",82
"cenný papír nebo",82
"zúčastněný na přeměna",82
"politika územní rozvoj",82
"rozhodnutí o správní",82
"platit i v",81
"evropský unie a",81
"z moc úřední",81
"zahraniční právnický osoba",81
"úrok z prodlení",80
"nebo právnický osoba",80
"právní předpis nebo",80
"až deset léto",80
"na území pobývat",80
"daň podle odstavec",80
"na povolení oddlužení",79
"veřejný zakázka na",79
"svoboda na jeden",79
"proti rozhodnutí podle",79
"přípravný řízení státní",78
"vízo k pobyt",78
"s právní předpis",78
"rozhodnutí valný hromada",78
"řízení státní zástupce",78
"společnost a družstvo",78
"pro účel daň",78
"stanovit prováděcí právní",78
"jiný značný prospěch",78
"účel daň z",77
"fúze do obchodní",77
"zpeněžení majetkový podstata",77
"rozhodnutí o schválení",77
"být zaměstnavatel povinen",77
"v dobrý víra",77
"nabytí účinnost tento",77
"plnění veřejný zakázka",76
"právnický osoba a",76
"v zdaňovací období",76
"valný hromada o",76
"léto ode den",76
"v který mít",76
"úmyslný trestný čin",76
"obecně prospěšný práce",75
"v členský stát",75
"oprávnění k pobyt",75
"policie český republika",75
"škoda nebo jiný",75
"po uplynutí lhůta",75
"po doba dlouhý",74
"příprava být trestný",74
"nárok na vrácení",74
"k tento zákon",74
"předseda senát a",74
"náhrada mzda nebo",74
"soutěž o návrh",74
"přestupek podle odstavec",74
"nebo jiný obdobný",74
"v lhůta do",74
"místo a okres",73
"člen dozorčí rada",73
"léto nebo zákaz",73
"žádost o udělení",73
"žádost o účast",73
"za účel strpění",73
"za který být",73
"v jenž se",73
"místo a stát",73
"přihlížet se k",73
"zastavení trestní stíhání",73
"způsob uvedený v",73
"a v případ",72
"tento zákon se",72
"jeden nebo hodně",72
"vízum k pobyt",72
"na daň podle",71
"zakladatelský právní jednání",71
"z příjem právnický",71
"příjem právnický osoba",71
"účel strpění pobyt",71
"základní kapitál nástupnický",71
"příslušný správce daň",71
"osm léto být",71
"zákonný zástupce nebo",71
"mimo území český",71
"do likvidační podstata",70
"zajištění a udržení",70
"jeden z manžel",70
"prohlášení za mrtvý",70
"střední vzdělání s",70
"obchodní společnost nebo",70
"proti tento rozhodnutí",70
"rok ode den",70
"mít vliv na",70
"škoda velký rozsah",70
"v insolvenční rejstřík",69
"za podmínka uvedený",69
"který být člen",69
"příjem z závislý",69
"tři léto až",69
"zcela nebo zčásti",69
"srážka z mzda",69
"o nařízení výkon",69
"výkon rozhodnutí nebo",69
"kapitál nástupnický společnost",69
"ministerstvo zahraniční věc",69
"který být součást",69
"nebo který být",69
"který on být",69
"den od doručení",69
"až na tři",69
"doba pobyt na",69
"karta vnitropodnikově převedený",68
"v lhůta podle",68
"v případ uvedený",68
"na jeho žádost",68
"senát a v",68
"svoboda na tři",68
"který být tento",68
"a povinnost z",68
"v veřejný zasedání",68
"na vydání bezdůvodný",68
"který moct být",68
"odstoupení od smlouva",68
"manželský majetkový režim",68
"nárok na náhrada",67
"prospěch velký rozsah",67
"pokud být v",67
"na přeshraniční přeměna",67
"cestovní zdravotní pojištění",67
"v tento zákon",67
"notářský zápis o",67
"nebo jiný doklad",67
"rozhodnutí o zajištění",67
"základ daň podle",67
"v obor vzdělání",67
"stanovený v odstavec",67
"o vrácení daň",67
"do majetkový podstata",67
"náhrada náklad řízení",67
"tento zákon stanovit",66
"který se vztahovat",66
"poplatník daň z",66
"právní předpis a",66
"který být podle",66
"v příloha č",66
"po se jdoucí",66
"povinnost vyplývající z",66
"státní občan český",66
"postup podle odstavec",66
"nebo jiný újma",66
"pro jiný značný",65
"na území na",65
"právo na uspokojení",65
"mít nárok na",65
"tento zákon jinak",65
"trest být pachatel",65
"základ daň v",65
"uplynutí lhůta pro",65
"na jenž se",65
"zvláštní režim jeden",65
"zápis fúze do",65
"příslušný správní orgán",65
"léto až deset",64
"způsob řešení úpadek",64
"nástupnický obchodní korporace",64
"žádost o povolení",64
"jako by být",64
"veřejný návrh smlouva",64
"nástupnický právnický osoba",64
"příjem z výkon",64
"nebo propadnutí věc",64
"valný hromada nebo",64
"v věc samý",64
"jeden správní místo",64
"lhůta uvedený v",64
"příjem a výdaj",64
"udržitelný rozvoj území",64
"pokud se vyžadovat",63
"s cenný papír",63
"v oznámení o",63
"zástavní právo k",63
"prodej movitý věc",63
"po který být",63
"rozhodnutí o zrušení",63
"úkon v řízení",63
"být krátký než",63
"ústřední správní úřad",63
"který by být",63
"nebo jiný orgán",63
"a který být",62
"k movitý věc",62
"takový čin pro",62
"v tento lhůta",62
"povinnost přiznat daň",62
"jiný prospěch velký",62
"do sbírka listina",62
"doklad o cestovní",62
"den právní moc",62
"jenž mít odkladný",62
"právnický osoba se",62
"moct insolvenční soud",62
"u který být",62
"odvolání proti rozhodnutí",62
"tento rozhodnutí být",62
"režim jeden správní",62
"osvobozený od daň",62
"být daňový rezident",62
"oprávněný úřední osoba",62
"na základ rozhodnutí",61
"zbytečný odklad poté",61
"o manželský majetkový",61
"stanovený zvláštní právní",61
"být v soulad",61
"podmínka stanovený v",61
"tento zákon o",61
"sociálně-právní ochrana dítě",61
"řídit právní řád",61
"o závazný posouzení",61
"mezitímní účetní závěrka",61
"uvedený v písmeno",61
"opatření obecný povaha",61
"zákaz činnost nebo",61
"souvislost s výkon",61
"smět být krátký",61
"čin pro sebe",61
"stav ohrožení stát",60
"výzva k podání",60
"zvláštní sazba daň",60
"se k on",60
"podat žádost o",60
"do jehož působnost",60
"na vrácení daň",60
"náhrada hotový výdaj",60
"evropský regulovaný trh",60
"jeden z on",60
"příjem fyzický osoba",60
"o cestovní zdravotní",60
"být povinen podat",60
"rok až pět",60
"dynamický nákupní systém",60
"prohlášení o majetek",60
"změna a doplnění",60
"za stav ohrožení",60
"na území členský",59
"sídlo na území",59
"na udržitelný rozvoj",59
"v rozsah stanovený",59
"převod jmění na",59
"právnický osoba nebo",59
"do jiný členský",59
"z příjem fyzický",59
"rozhodnutí nebo jiný",59
"v pracovní poměr",59
"pozdě však do",59
"z trestný činnost",59
"pro jiný prospěch",59
"zápis do veřejný",59
"údaj podle odstavec",58
"o zvýšení základní",58
"povinnost podle odstavec",58
"ode den nabytí",58
"z výkon právo",58
"právo a svoboda",58
"soud rozhodnout o",58
"v odůvodněný případ",58
"s místo plnění",58
"za majetkový podstata",58
"který by moct",58
"nebo rozdělovaný společnost",58
"výnos z trestný",58
"pohledávka za majetkový",57
"podmínka podle odstavec",57
"povinnost a právo",57
"za válečný stav",57
"se použít ustanovení",57
"žádost o vrácení",57
"doklad o odborný",57
"strpění pobyt na",57
"který smět být",57
"i když být",57
"s nárok na",57
"vycestování z území",56
"svoboda na pět",56
"k jenž být",56
"místo plnění v",56
"daň v případ",56
"zástupce nebo opatrovník",56
"schválení dohoda o",56
"na pět až",56
"s maturitní zkouška",56
"přihláška k registrace",56
"nadřízený správní orgán",56
"trest obecně prospěšný",56
"rozhodnutí o závazný",56
"rezident jiný členský",56
"který mít v",56
"až do výše",55
"o žádost o",55
"odpočet daň v",55
"být živnost provozován",55
"jiný doklad o",55
"skutečnost rozhodný pro",55
"mít za ten",55
"odstoupit od smlouva",55
"činnost nebo propadnutí",55
"vyhodnocení vliv na",55
"jenž být živnost",55
"z příjem z",55
"vydaný zařízení akreditovaný",55
"obchodní korporace nebo",55
"rozhodnutí insolvenční soud",55
"být dlouhý než",55
"nařízení evropský parlament",55
"čin v úmysl",55
"akreditovaný ministerstvo školství",55
"osvobodit od daň",54
"změna územní plán",54
"uvolněný člen zastupitelstvo",54
"den nabytí právní",54
"zařízení akreditovaný ministerstvo",54
"jehož působnost patřit",54
"na území jiný",54
"zařízení akreditovaný podle",54
"zboží nebo poskytnutí",54
"osvědčení o rekvalifikace",54
"podmínka stanovený tento",54
"který být na",54
"z jenž být",54
"se řídit právní",54
"majetek patřící do",54
"dodatečný daňový přiznání",54
"místo trvalý pobyt",54
"získat pro sebe",53
"o který být",53
"veřejný zakázka v",53
"pro který se",53
"trvalý pobyt na",53
"z samostatný činnost",53
"o výkon rozhodnutí",53
"akreditovaný podle zvláštní",53
"svolání valný hromada",53
"být předmět daň",53
"v lhůta stanovený",53
"následující po den",53
"návrh podle odstavec",53
"podle jiný zákon",53
"o zahájení řízení",53
"příjem z samostatný",53
"nemoc z povolání",53
"a ten na",53
"nebo policejní orgán",53
"a ten do",53
"být účastník řízení",53
"nebo poskytnutí služba",53
"o trestný čin",53
"na jehož území",53
"který se stanovit",53
"zadání veřejný zakázka",53
"evropský rada zaměstnanec",53
"který mít sídlo",53
"vzdělání s maturitní",53
"závazek z smlouva",53
"v ostatní případ",53
"trestný čin spáchaný",52
"pořízení pro případ",52
"ode den podání",52
"působnost patřit odvětví",52
"osobní daňový účet",52
"jmění na společník",52
"území evropský unie",52
"rozhodnutí nebo exekuce",52
"být povinen v",52
"do jeden měsíc",52
"nebo peněžitý trest",52
"s zdravotní postižení",52
"zahájení řízení o",52
"rozdělení do obchodní",52
"rozhodnutí správní orgán",52
"z informační systém",52
"muset být v",52
"platit i pro",51
"až na jeden",51
"z důležitý důvod",51
"ohrožení stát nebo",51
"pro trestný čin",51
"cenný papír na",51
"deset léto být",51
"odborný kvalifikace pro",51
"zahájení trestní stíhání",51
"některý z on",51
"být rozhodnout o",51
"v úmysl získat",51
"nebo jiný opatření",51
"o odborný kvalifikace",51
"konání valný hromada",51
"být odvolání přípustný",51
"ten platit obdobně",51
"a identifikační číslo",50
"úřední deska soud",50
"stát nebo za",50
"od základ daň",50
"moct předseda senát",50
"na veřejný zakázka",50
"k podání nabídka",50
"o změna a",50
"k pobyt na",50
"k rozhodnutí o",50
"jako den smrt",50
"státní zástupce a",50
"znalecký zpráva o",50
"vliv na udržitelný",50
"platit v případ",50
"na evropský regulovaný",50
"orgán sociálně-právní ochrana",50
"k daň v",50
"ten platit pro",50
"nebo na základ",50
"spáchat trestný čin",50
"o zahájení zadávací",50
"obrana nebo bezpečnost",50
"opravný daňový doklad",50
"do základ daň",50
"tento právnický osoba",50
"hlavní město Praha",50
"úmysl získat pro",50
"náležitost uvedený v",50
"orgán příslušný k",49
"pracovní den ode",49
"o přestupek podle",49
"na náhrada náklad",49
"osoba s zdravotní",49
"život nebo zdraví",49
"daňový identifikační číslo",49
"být český republika",49
"poměr obchodní společnost",49
"pobyt cizinec na",49
"v jaký být",49
"insolvenční správce a",49
"movitý věc a",49
"plynout příjem z",49
"rozhodnutí o udělení",49
"obchodník s cenný",49
"právní poměr obchodní",49
"se nebo jiný",49
"rozdělovaný obchodní korporace",49
"osoba oprávněný k",49
"zástupce nebo policejní",49
"v žádost o",49
"výpis z evidence",49
"považovat se za",49
"na základ smlouva",49
"dopustit přestupek ten",49
"případ dobytný pohledávka",48
"léto nebo peněžitý",48
"závažný způsob narušit",48
"po celý doba",48
"jehož obvod být",48
"ochrana na území",48
"orgán obchodní korporace",48
"soud a v",48
"o jenž být",48
"při správa daň",48
"trestný čin nebo",48
"pro příslušný pracovní",48
"týdenní pracovní doba",48
"z jiný důvod",48
"cizinec povinen předložit",48
"v případ podle",48
"a v řízení",48
"s rozšířený působnost",48
"pokud se jednat",48
"zvukově obrazový záznam",48
"nebo za válečný",48
"soud nebo jiný",48
"do tři měsíc",48
"a udržení příjem",48
"nebo její část",48
"a za podmínka",48
"předmět veřejný zakázka",47
"být právnický osoba",47
"v případ dobytný",47
"společný soužití rodina",47
"provozovatel poštovní služba",47
"jiný orgán veřejný",47
"rozhodnutí o přestupek",47
"zboží z jiný",47
"kvalifikace pro příslušný",47
"jen na návrh",47
"narušit veřejný pořádek",47
"v průběh řízení",47
"řízení podle odstavec",47
"v případ stanovený",47
"který plynout příjem",47
"na základ písemný",47
"způsob narušit veřejný",47
"pro vydání rozhodnutí",47
"právní předpis evropský",47
"evidence rejstřík trest",47
"lhůta k podání",47
"povaha a závažnost",47
"nebo jiný právní",47
"poslední den lhůta",47
"a údaj o",47
"jen s souhlas",47
"povinnost uvedený v",47
"pouze v případ",47
"obdobně se postupovat",47
"právo k věc",47
"výkon zabezpečovací detence",47
"z který plynout",47
"se v tento",47
"zápis rozdělení do",47
"den následující po",47
"příjem uvedený v",46
"registrovaný k daň",46
"návrh na schválení",46
"který žádat o",46
"návrh státní zástupce",46
"o jenž se",46
"obec s rozšířený",46
"o který se",46
"den podání žádost",46
"nebo v případ",46
"od smlouva odstoupit",46
"za účel ochrana",46
"být plně svéprávný",46
"s zřetel k",46
"vůči třetí osoba",46
"průběh insolvenční řízení",46
"činnost vydaný zařízení",46
"být v rozhodnutí",46
"statutární orgán nebo",46
"že se jednat",46
"být v tento",45
"podnikání na kapitálový",45
"o prodloužení doba",45
"měsíc až tři",45
"o právní jednání",45
"na povolení reorganizace",45
"příslušný pracovní činnost",45
"organizovaný zločinecký skupina",45
"který být plátce",45
"ohled na ten",45
"splňovat podmínka pro",45
"v oblast obrana",45
"náhrada za ztráta",45
"ten platit v",45
"uvedený v příloha",45
"například zákon č",45
"zdaňovací období nebo",45
"uskutečnění zdanitelný plnění",45
"pro zápis do",45
"na schválení dohoda",45
"právní předpis stanovit",45
"výsada a imunita",45
"poslanec nebo senátor",45
"exekuční správní orgán",45
"kdy dojít k",45
"na jenž být",45
"ručení omezený nebo",45
"z pracovněprávní vztah",45
"peněžitý trest být",45
"trestný čin a",45
"pokud být ten",45
"až tři léto",45
"výkon kolektivní správa",45
"plnění v tuzemsko",44
"patřící do likvidační",44
"odvolací správní orgán",44
"povinnost k náhrada",44
"takový případ se",44
"hledět se na",44
"z evidence rejstřík",44
"trest domácí vězení",44
"tento zákon považovat",44
"o tento skutečnost",44
"v samostatný působnost",44
"posouzení vliv na",44
"až dvanáct léto",44
"který být uvést",44
"se dopustit přestupek",44
"právnický osoba zúčastněný",44
"do notářský úschova",44
"moc usnesení o",44
"zákon český republika",44
"zadávání veřejný zakázka",44
"příslušný kolektivní správce",44
"sídlo a identifikační",43
"v přezkumný řízení",43
"dodání zboží nebo",43
"insolvenční soud o",43
"aktualizace zásada územní",43
"v písmeno a",43
"kdy se o",43
"podle přímo použitelný",43
"k ten být",43
"pět léto nebo",43
"správní orgán moct",43
"za účel společný",43
"jednací řízení bez",43
"osoba podle odstavec",43
"identifikační číslo osoba",43
"se na on",43
"vysoký odborný vzdělání",43
"nebo fyzický osoba",43
"uplatnit nárok na",43
"fyzický osoba se",43
"nebo některý z",43
"na území a",43
"na kapitálový trh",43
"osvobození od daň",43
"správní orgán v",43
"sektorový veřejný zakázka",43
"měsíc až pět",43
"zúčastněný na správa",43
"být povinen na",43
"dílčí základ daň",43
"mít za následek",43
"pracovní činnost vydaný",43
"se k ten",43
"podle právní řád",43
"oblast obrana nebo",43
"obor vzdělání zaměřený",43
"příjem plynoucí z",42
"některý související zákon",42
"daňový přiznání za",42
"rekvalifikace nebo jiný",42
"nebo na vydání",42
"kdy on být",42
"po doba málo",42
"informační systém cizinec",42
"léto nebo propadnutí",42
"být fyzický osoba",42
"mít na území",42
"jehož obvod mít",42
"pro stanovení daň",42
"právo podle odstavec",42
"který na území",42
"likvidační správce nebo",42
"konečný účetní závěrka",42
"na území nebo",42
"a v jaký",42
"se postupovat podle",42
"než český republika",42
"ten i v",42
"který vést účetnictví",42
"o rekvalifikace nebo",42
"podávat daňový přiznání",42
"o ten požádat",42
"záloha na daň",42
"nebezpečí z prodlení",42
"vysokoškolský vzdělání v",42
"fyzický nebo právnický",42
"nebo propadnutí majetek",42
"ublížení na zdraví",42
"se o on",42
"do jeden rok",42
"zadávací řízení nebo",42
"oprávnění k výkon",42
"dojít k změna",42
"pokud být tento",42
"rozhodnutí o povolení",42
"systém veřejný správa",42
"že jít o",42
"jiný opatření orgán",41
"forma veřejný listina",41
"plnění osvobozený od",41
"v spojení s",41
"se oznamovat pouze",41
"v veřejný seznam",41
"před den nabytí",41
"řízení o přestupek",41
"podmíněný zastavení trestní",41
"výkon právo a",41
"pořízení zboží z",41
"informační systém veřejný",41
"do šest měsíc",41
"propadnutí majetek být",41
"vztahovat i na",41
"na svůj náklad",41
"bydliště nebo sídlo",41
"po doba trvání",41
"majetek být pachatel",41
"v správní soudnictví",41
"vzdělání zaměřený na",41
"v obchodní korporace",41
"poskytovatel zdravotní služba",41
"všecek zúčastněný společnost",41
"řízení bez uveřejnění",41
"jeho rodinný příslušník",41
"spáchání trestný čin",41
"žádost o prodloužení",41
"o udělení mezinárodní",41
"účel ochrana na",41
"EU z den",41
"účastník řízení podle",40
"výše základní kapitál",40
"o prodloužení platnost",40
"účel společný soužití",40
"návrh na potrestání",40
"udělení mezinárodní ochrana",40
"upravovat právní poměr",40
"tento ustanovení se",40
"který se řídit",40
"předpis evropský společenství",40
"k výkon práce",40
"zápis do obchodní",40
"řádný daňový tvrzení",40
"péče o dítě",40
"vyžadovat písemný forma",40
"poskytovatel platební služba",40
"datum a místo",40
"přeměna právnický osoba",40
"na internetový stránka",40
"moct soud uložit",40
"jiný osoba než",40
"místně příslušný správce",40
"majetek likvidační podstata",40
"stejně být potrestat",40
"povolení k zaměstnání",40
"který upravovat právní",40
"na který mít",40
"pozemek nebo stavba",40
"správce daň moct",40
"moct správce daň",40
"který se v",40
"na zastupitelský úřad",40
"on k ten",40
"ten v rozsah",40
"až do doba",40
"o zastavení řízení",39
"za který se",39
"od daň s",39
"s biometrický údaj",39
"předložit doklad o",39
"a jiný společenský",39
"dohoda o pracovní",39
"vzhledem k povaha",39
"zahraniční obchodní rejstřík",39
"být správní orgán",39
"stížnost pro porušení",39
"o pracovní činnost",39
"účelně vynaložený náklad",39
"daň s nárok",39
"územní opatření o",39
"podle zvláštní předpis",39
"postupovat obdobně podle",39
"pro porušení zákon",39
"řádně a včas",39
"právní předpis o",39
"k přechodný pobyt",39
"nebo rozdělovaný obchodní",39
"za ten účel",39
"na návrh osoba",39
"adresa pro doručování",39
"muset obsahovat a",39
"právo k movitý",39
"pobytový karta rodinný",39
"přemístění sídlo do",39
"o způsob řešení",39
"být třeba souhlas",39
"na podíl na",39
"zákon nebo zvláštní",39
"pravomocný rozhodnutí o",39
"český právnický osoba",39
"za přestupek podle",38
"obchodní rejstřík nebo",38
"splnění vkladový povinnost",38
"jen v případ",38
"až dvacet léto",38
"být v doba",38
"na obnova řízení",38
"před rozhodnutí o",38
"jiný společenský akce",38
"pět léto být",38
"výhrada zpětný koupě",38
"při dodání zboží",38
"nebo trvalý pobyt",38
"řízení o žaloba",38
"movitý věc nebo",38
"za účel investování",38
"výjimka uvedený v",38
"být příslušný soud",38
"k který být",38
"dům a pozemek",38
"posuzování vliv na",38
"být v řízení",38
"s výjimka uvedený",38
"věcný právo k",38
"smlouva na veřejný",38
"kulturní a jiný",38
"s tento zákon",38
"pravomocný rozhodnutí soud",38
"uplynout lhůta pro",38
"a který se",38
"že on být",38
"z který být",38
"nebo jeho zástupce",38
"a zákon č",38
"pro podání nabídka",38
"nebo podnikající fyzický",38
"území pobývat na",38
"měsíc následující po",38
"každý z on",38
"fúze nebo rozdělení",38
"na základ zákon",38
"který být vydat",38
"s návrh na",37
"který se měnit",37
"který muset být",37
"insolvenční soud v",37
"oznámení podle odstavec",37
"za jenž být",37
"alespoň jeden z",37
"veřejný zakázka a",37
"právnický osoba být",37
"na návrh státní",37
"o případ uvedený",37
"hodný zvláštní zřetel",37
"karta rodinný příslušník",37
"na základ dohoda",37
"spořitelní a úvěrní",37
"obchodní firma nebo",37
"maturitní zkouška v",37
"nebo rozhodnutí o",37
"veřejný zdravotní pojištění",37
"na správa daň",37
"účast v zadávací",37
"výkon práce v",37
"a úvěrní družstvo",37
"do řízení přistoupit",37
"ministerstvo životní prostředí",37
"s dispoziční oprávnění",37
"společník veřejný obchodní",37
