"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency
"v znění pozdní předpis",616
"podle zvláštní právní předpis",612
"členský stát evropský unie",417
"čin uvedený v odstavec",408
"povolení k dlouhodobý pobyt",341
"na území český republika",341
"být potrestat odnětí svoboda",286
"léto být pachatel potrestat",256
"jiný členský stát evropský",236
"odnětí svoboda až na",229
"podle jiný právní předpis",220
"nárok na odpočet daň",215
"pro účel tento zákon",212
"a o změna některý",203
"mít se za ten",202
"společnost s ručení omezený",198
"potrestat odnětí svoboda až",196
"se pro účel tento",186
"k dlouhodobý pobyt za",184
"průkaz o povolení k",178
"osoba povinný k daň",176
"činný v trestní řízení",175
"orgán činný v trestní",174
"povolení k trvalý pobyt",174
"dlouhodobý pobyt za účel",172
"daň z přidaný hodnota",161
"v znění zákon č",160
"nabytí právní moc rozhodnutí",159
"právní moc rozhodnutí o",156
"o povolení k pobyt",154
"evropský parlament a rada",149
"osoba uvedený v odstavec",141
"pro sebe nebo pro",140
"sebe nebo pro jiný",137
"o změna některý zákon",136
"o vydání povolení k",132
"účel tento zákon rozumět",125
"příslušník občan evropský unie",122
"z důvod uvedený v",122
"rodinný příslušník občan evropský",121
"o vina a trest",118
"a v přípravný řízení",117
"stát evropský unie nebo",117
"v jiný členský stát",109
"dohoda o vina a",108
"vydání povolení k dlouhodobý",103
"tvořící evropský hospodářský prostor",102
"bezpečnost a ochrana zdraví",102
"vliv na životní prostředí",102
"škoda nebo majetkový újma",101
"stát tvořící evropský hospodářský",100
"ochrana zdraví při práce",99
"na šest měsíc až",98
"odnětí svoboda na dva",98
"a ochrana zdraví při",98
"svoboda na šest měsíc",97
"svoboda na dva léto",97
"odnětí svoboda na šest",96
"být v rozpor s",96
"návrh na zahájení řízení",96
"právní moc rozhodnutí soud",95
"na dva léto až",94
"z jiný členský stát",94
"potrestat odnětí svoboda na",93
"rok praxe v obor",93
"výkon trest odnětí svoboda",92
"směrnice evropský parlament a",91
"rozhodnutí soud o prohlášení",91
"způsob umožňující dálkový přístup",90
"obvod nebo městský část",89
"léto až osm léto",89
"městský obvod nebo městský",88
"bez zbytečný odklad po",88
"svoboda až na dva",88
"až na dva léto",87
"jako člen organizovaný skupina",86
"v řízení před soud",86
"těžký újma na zdraví",85
"na jeden rok až",85
"moc rozhodnutí soud o",84
"přímo použitelný předpis evropský",83
"datum nabytí právní moc",83
"platit i v případ",81
"přechodný pobyt na území",80
"použitelný předpis evropský unie",80
"rozhodnutí o správní vyhoštění",79
"osoba zúčastněný na přeměna",79
"svoboda na jeden rok",78
"žádost o vydání povolení",78
"osoba zúčastněný na přeshraniční",77
"odnětí svoboda na jeden",77
"v přípravný řízení státní",77
"stanovit prováděcí právní předpis",76
"nabytí účinnost tento zákon",76
"fúze do obchodní rejstřík",76
"přípravný řízení státní zástupce",76
"pro účel daň z",76
"dva léto až osm",75
"den nabytí účinnost tento",75
"návrh na povolení oddlužení",75
"obchodní společnost a družstvo",74
"náhrada mzda nebo plat",73
"ten platit i v",73
"vízo k pobyt nad",73
"náhrada škoda nebo majetkový",72
"platnost povolení k dlouhodobý",72
"nástupnický společnost nebo družstvo",72
"léto nebo zákaz činnost",71
"mimo území český republika",71
"daň z příjem právnický",70
"za účel strpění pobyt",70
"osm léto být pachatel",70
"z příjem právnický osoba",70
"vízum k pobyt nad",69
"příjem z závislý činnost",69
"na náhrada škoda nebo",69
"soud o prohlášení za",69
"až osm léto být",69
"po doba dlouhý než",68
"na tři léto až",68
"karta vnitropodnikově převedený zaměstnanec",68
"právo a povinnost z",68
"za podmínka uvedený v",68
"na vydání bezdůvodný obohacení",68
"až na tři léto",67
"senát a v přípravný",67
"sleva na daň podle",67
"o povolení k trvalý",67
"základní kapitál nástupnický společnost",67
"zúčastněný na přeshraniční přeměna",66
"proti rozhodnutí podle odstavec",66
"v případ uvedený v",66
"podle právní předpis upravující",66
"svoboda až na tři",66
"nebo pro jiný značný",65
"odnětí svoboda na tři",65
"poplatník daň z příjem",65
"škoda nebo jiný újma",64
"trest být pachatel potrestat",63
"státní občan český republika",63
"pro jiný značný prospěch",63
"svoboda na tři léto",63
"o nařízení výkon rozhodnutí",63
"doba pobyt na území",63
"režim jeden správní místo",62
"zvláštní režim jeden správní",62
"jenž mít odkladný účinek",61
"bez zbytečný odklad poté",61
"jiný prospěch velký rozsah",61
"předseda senát a v",61
"čin pro sebe nebo",61
"stanovený zvláštní právní předpis",61
"léto až deset léto",60
"doklad o cestovní zdravotní",60
"smět být krátký než",60
"v souvislost s výkon",60
"být v soulad s",60
"rok až pět léto",60
"o prohlášení za mrtvý",59
"zápis fúze do obchodní",59
"jeden rok až pět",59
"o cestovní zdravotní pojištění",59
"nebo pro jiný prospěch",59
"podmínka uvedený v odstavec",59
"na udržitelný rozvoj území",58
"do jiný členský stát",58
"výnos z trestný činnost",58
"takový čin pro sebe",58
"o manželský majetkový režim",58
"z příjem fyzický osoba",58
"den ode den doručení",58
"území členský stát evropský",57
"příjem z výkon právo",57
"daň z příjem fyzický",57
"účel strpění pobyt na",57
"pohledávka za majetkový podstata",57
"na území členský stát",57
"trest obecně prospěšný práce",56
"rezident jiný členský stát",56
"strpění pobyt na území",56
"nárok na náhrada škoda",55
"ustanovení tento zákon o",55
"pro jiný prospěch velký",55
"o zvýšení základní kapitál",55
"rozhodnutí o závazný posouzení",55
"zákaz činnost nebo propadnutí",55
"nárok na vrácení daň",55
"v jenž být živnost",54
"do jehož působnost patřit",54
"nařízení evropský parlament a",54
"zařízení akreditovaný ministerstvo školství",54
"činnost nebo propadnutí věc",54
"vydaný zařízení akreditovaný podle",54
"odnětí svoboda na pět",54
"žádost o vrácení daň",54
"takový čin v úmysl",54
"svoboda na pět až",54
"za stav ohrožení stát",54
"zařízení akreditovaný podle zvláštní",53
"jenž být živnost provozován",53
"nebo jiný doklad o",53
"vzdělání s maturitní zkouška",52
"zákonný zástupce nebo opatrovník",52
"žádost o povolení k",52
"usnesení o nařízení výkon",52
"rozdělení do obchodní rejstřík",52
"získat pro sebe nebo",52
"střední vzdělání s maturitní",52
"zboží nebo poskytnutí služba",52
"den nabytí právní moc",52
"příjem z samostatný činnost",52
"výkon rozhodnutí nebo exekuce",51
"doklad o odborný kvalifikace",51
"jehož působnost patřit odvětví",51
"akreditovaný podle zvláštní právní",51
"stav ohrožení stát nebo",51
"pořízení pro případ smrt",51
"až deset léto být",51
"převod jmění na společník",51
"o zahájení zadávací řízení",50
"úmysl získat pro sebe",50
"právo na náhrada škoda",50
"jiný doklad o odborný",50
"deset léto být pachatel",50
"s místo plnění v",50
"vliv na udržitelný rozvoj",50
"na evropský regulovaný trh",50
"orgán sociálně-právní ochrana dítě",49
"o odborný kvalifikace pro",49
"až na jeden rok",49
"v úmysl získat pro",49
"obchodník s cenný papír",49
"poměr obchodní společnost a",49
"právní poměr obchodní společnost",49
"osoba s zdravotní postižení",49
"svoboda až na jeden",49
"pracovní den ode den",49
"uvolněný člen zastupitelstvo obec",49
"zástupce nebo policejní orgán",49
"který být daňový rezident",48
"léto nebo peněžitý trest",48
"státní zástupce nebo policejní",48
"oznámení o zahájení zadávací",48
"schválení dohoda o vina",48
"o změna a doplnění",48
"v jehož obvod být",48
"zajištění a udržení příjem",48
"v případ dobytný pohledávka",47
"nebo za válečný stav",47
"tento zákon stanovit jinak",47
"den za účel strpění",47
"z který plynout příjem",46
"stát nebo za válečný",46
"tři léto až deset",46
"závažný způsob narušit veřejný",46
"se řídit právní řád",46
"podmínka stanovený tento zákon",46
"se pro účel daň",46
"který plynout příjem z",46
"zanikající nebo rozdělovaný společnost",46
"pokud se jednat o",46
"být cizinec povinen předložit",46
"činnost vydaný zařízení akreditovaný",46
"od právní moc rozhodnutí",45
"návrh na povolení reorganizace",45
"obec s rozšířený působnost",45
"že se jednat o",45
"návrh na schválení dohoda",45
"podání žádost o účast",45
"pro příslušný pracovní činnost",45
"s ručení omezený nebo",45
"způsob narušit veřejný pořádek",45
"rozhodnutí nebo jiný opatření",45
"kvalifikace pro příslušný pracovní",45
"daň v případ dobytný",45
"zboží z jiný členský",45
"stát evropský unie a",45
"na který se vztahovat",45
"ohrožení stát nebo za",45
"vyhodnocení vliv na udržitelný",45
"s nárok na odpočet",44
"na schválení dohoda o",44
"pobyt cizinec na území",44
"z evidence rejstřík trest",44
"základ daň v případ",44
"na úřední deska soud",44
"měsíc až tři léto",44
"právnický osoba zúčastněný na",44
"uvedený v příloha č",44
"jiný orgán veřejný moc",44
"patřící do likvidační podstata",44
"odborný kvalifikace pro příslušný",44
"a o změna a",44
"šest měsíc až tři",44
"sídlo na území český",43
"k pobyt na území",43
"trvalý pobyt na území",43
"peněžitý trest být pachatel",43
"v takový případ se",43
"místo plnění v tuzemsko",43
"pracovní činnost vydaný zařízení",43
"šest měsíc až pět",43
"osoba zúčastněný na správa",43
"příslušný pracovní činnost vydaný",43
"oblast obrana nebo bezpečnost",43
"podnikání na kapitálový trh",43
"měsíc až pět léto",43
"právní moc usnesení o",43
"pobyt za účel ochrana",42
"aktualizace zásada územní rozvoj",42
"a ten i v",42
"soud a v přípravný",42
"účel daň z přidaný",42
"nebo na vydání bezdůvodný",42
"v oblast obrana nebo",42
"uvedený v písmeno a",42
"oprava základ daň v",42
"v obor vzdělání zaměřený",42
"o rekvalifikace nebo jiný",42
"sídlo a identifikační číslo",42
"plynout příjem z samostatný",42
"v jehož obvod mít",42
"bez ohled na ten",41
"dodání zboží nebo poskytnutí",41
"za účel ochrana na",41
"obor vzdělání zaměřený na",41
"informační systém veřejný správa",41
"účel ochrana na území",41
"fyzický nebo právnický osoba",41
"nebo peněžitý trest být",41
"jednací řízení bez uveřejnění",41
"před den nabytí účinnost",41
"registrovaný k daň v",41
"plnění osvobozený od daň",41
"den ode den podání",40
"propadnutí majetek být pachatel",40
"po právní moc usnesení",40
"o udělení mezinárodní ochrana",40
"který být v rozhodnutí",40
"majetek být pachatel potrestat",40
"který upravovat právní poměr",40
"ten platit v případ",40
"upravovat právní poměr obchodní",40
"pobyt na území na",40
"zápis rozdělení do obchodní",40
"důvod uvedený v odstavec",40
"osvědčení o rekvalifikace nebo",40
"rekvalifikace nebo jiný doklad",40
"léto nebo propadnutí majetek",40
"účel tento zákon považovat",40
"daň s nárok na",39
"majetek patřící do likvidační",39
"v oznámení o zahájení",39
"den následující po den",39
"účel společný soužití rodina",39
"a ten v rozsah",39
"podmíněný zastavení trestní stíhání",39
"usnesení valný hromada o",38
"s výjimka uvedený v",38
"smlouva na veřejný zakázka",38
"kulturní a jiný společenský",38
"nebo podnikající fyzický osoba",38
"občan evropský unie nebo",38
"o povolení k dlouhodobý",38
"který být uvést v",38
"případ uvedený v odstavec",38
"a jiný společenský akce",38
"stížnost pro porušení zákon",38
"pět léto být pachatel",38
"pořízení zboží z jiný",38
"až pět léto nebo",38
"posuzování vliv na životní",38
"místně příslušný správce daň",38
"za účel společný soužití",38
"od daň s nárok",38
"nebo rozdělovaný obchodní korporace",37
"spořitelní a úvěrní družstvo",37
"o změna některý související",37
"na který mít být",37
"nebo propadnutí majetek být",37
"k žádost o vydání",37
"pobytový karta rodinný příslušník",37
"právo k movitý věc",37
"zápis do obchodní rejstřík",37
"společník veřejný obchodní společnost",37
"dohoda o pracovní činnost",37
"na území pobývat na",37
"za podmínka stanovený tento",37
"účast v zadávací řízení",37
"nebo zvláštní právní předpis",36
"zúčastněný na správa daň",36
"tento zákon nebo zvláštní",36
"na dva léto nebo",36
"pozvánka na valný hromada",36
"karta rodinný příslušník občan",36
"nebo jiný opatření orgán",36
"o případ uvedený v",36
"přímo použitelný právní předpis",36
"změna některý související zákon",36
"nebo zařízení akreditovaný ministerstvo",36
"osoba zúčastněný na řízení",36
"podle přímo použitelný předpis",36
"odnětí svoboda na osm",36
"oblast bezpečnost a ochrana",36
"uveden jako den smrt",36
"až pět léto být",36
"na odpočet daň v",36
"na návrh státní zástupce",36
"jeden měsíc ode den",36
"obchodování na evropský regulovaný",36
"ten platit i tehdy",36
"lhůta pro podání nabídka",36
"veřejný obchodní společnost nebo",35
"za podmínka stanovený v",35
"účel daň z příjem",35
"na vízum k pobyt",35
"použitelný právní předpis evropský",35
"pobyt za účel investování",35
"v řízení o pozůstalost",35
"o přestupek podle odstavec",35
"potvrzení o přechodný pobyt",35
"který smět být krátký",35
"ten i v případ",35
"v průběh insolvenční řízení",35
"pět léto nebo peněžitý",35
"území jiný členský stát",35
"do řízení přistoupit jako",35
"zápis do veřejný rejstřík",35
"svoboda na osm až",35
"jako zaknihovaný cenný papír",35
"mrtvý uveden jako den",35
"osoba registrovaný k daň",35
"mít právo na náhrada",35
"s maturitní zkouška v",35
"za přestupek podle odstavec",35
"oznámení o zahájení řízení",35
"za mrtvý uveden jako",35
"podat návrh na zápis",35
"výzva k podání nabídka",34
"přihlížet se k ten",34
"v rozhodnutí soud o",34
"podmíněný trest odnětí svoboda",34
"povolení k pobyt pro",34
"nosič datum s biometrický",34
"maturitní zkouška v obor",34
"výše oprava základ daň",34
"pro oblast bezpečnost a",34
"pokud být uvést v",34
"na území jiný členský",34
"takový čin značný škoda",34
"tři léto být pachatel",34
"se mít za ten",34
"pobyt za účel společný",34
"řízení přistoupit jako další",34
"ode den podání žádost",34
"prohlášený za mrtvý přežít",34
"zakázka v oblast obrana",34
"prohlášení za mrtvý uveden",34
"v jiný položka tento",34
"se dopustit přestupek ten",34
"povinnost z pracovněprávní vztah",34
"vydání povolení k trvalý",34
"studijní program a studijní",34
"program a studijní obor",34
"mezi příjem a výdaj",34
"datum s biometrický údaj",34
"právo na uspokojení pohledávka",34
"a povinnost z pracovněprávní",34
"o přechodný pobyt na",34
"převedený zaměstnanec jiný členský",33
"zaměstnanec jiný členský stát",33
"územně členěný statutární město",33
"výpis z evidence rejstřík",33
"jednací řízení s uveřejnění",33
"o posuzování vliv na",33
"čin v úmysl získat",33
"zápis změna právní forma",33
"základní kapitál do obchodní",33
"šest měsíc ode den",33
"soulad s právní předpis",33
"smět být dlouhý než",33
"zanikající nebo rozdělovaný obchodní",33
"vnitropodnikově převedený zaměstnanec jiný",33
"ode den právní moc",33
"posouzení vliv na životní",33
"stanovený týdenní pracovní doba",33
"na území evropský unie",33
"za účel sezónní zaměstnání",33
"evidence zaknihovaný cenný papír",33
"který být plně svéprávný",33
"jiný položka tento příloha",33
"nebo majetkový újma nebo",33
"místo a okres narození",33
"režim přenesení daňový povinnost",33
"mít na území český",32
"rozdíl mezi příjem a",32
"který být předmět daň",32
"den právní moc rozhodnutí",32
"právní předpis upravující účetnictví",32
"kdo do řízení přistoupit",32
"veřejný zakázka v oblast",32
"řízení v první stupeň",32
"podle zvláštní sazba daň",32
"podpora výzkum a vývoj",32
"k trvalý pobyt podle",32
"údaj o skutečný majitel",32
"tři měsíc ode den",32
"po právní moc rozhodnutí",32
"právo na náhrada náklad",32
"s zpeněžení majetkový podstata",32
"zástupce pro oblast bezpečnost",32
"kalendář s zpeněžení majetkový",32
"zákon nebo zvláštní právní",32
"kapitál do obchodní rejstřík",32
"vlastník účastnický cenný papír",32
"právní předpis evropský společenství",32
"lhůta pro stanovení daň",32
"k povaha a závažnost",32
"mít nárok na odpočet",32
"informační systém smluvní stát",32
"se podávat daňový přiznání",32
"od adresa místo pobyt",31
"soud i bez návrh",31
"služba nebo stavební práce",31
"rozpor s právní předpis",31
"zákaz vstup na sportovní",31
"v případ veřejný zakázka",31
"se vztahovat i na",31
"místo pobyt na území",31
"s jiný právní předpis",31
"zákon o posuzování vliv",31
"o snížení základní kapitál",31
"a doba pobyt na",31
"likvidační správce nebo notář",31
"platnost vízo k pobyt",31
"ten platit i pro",31
"valný hromada nebo členský",31
"způsob stanovený tento zákon",31
"hromada nebo členský schůze",31
"řídit právní řád stát",31
"který na území pobývat",31
"tři léto nebo zákaz",31
"na jehož území k",30
"adresa místo trvalý pobyt",30
"v lhůta podle odstavec",30
"na státní politika zaměstnanost",30
"se od adresa místo",30
"nebo stát tvořící evropský",30
"obecný požadavek na výstavba",30
"stanovený tento zákon a",30
"ode den nabytí právní",30
"příslušný orgán veřejný moc",30
"zdaňovací období nebo období",30
"společně a rozdílně s",30
"nebo majetkový újma v",30
"povolení k přechodný pobyt",30
"zapsat do obchodní rejstřík",30
"srážka podle zvláštní sazba",30
"v jenž mít být",30
"jiný právní předpis nebo",30
"daň v jiný členský",30
"důvod hodný zvláštní zřetel",30
"rozdělovaný společnost nebo družstvo",30
"plnění splátkový kalendář s",30
"správa dům a pozemek",30
"splátkový kalendář s zpeněžení",30
"dva léto nebo zákaz",30
"právnický nebo fyzický osoba",30
"k pobyt pro cizinec",30
"a ten až do",30
"místo a okres úmrtí",30
"legalizace výnos z trestný",30
"přeměna do obchodní rejstřík",30
"náhrada za ztráta na",30
"majetkový újma v peníze",30
"za účel vědecký výzkum",30
"evropský unie nebo stát",30
"k obchodování na evropský",30
"podíl na likvidační zůstatek",30
"se usnést na tento",30
"čin těžký újma na",30
"pojistné na sociální zabezpečení",29
"unie nebo stát tvořící",29
"změna právní forma do",29
"den konání valný hromada",29
"takový čin těžký újma",29
"příspěvek na státní politika",29
"a studijní obor zaměřený",29
"odposlech a záznam telekomunikační",29
"s sídlo na území",29
"v rozpor s jiný",29
"náhrada škoda nebo jiný",29
"o ten muset být",29
"být v rozhodnutí soud",29
"valný hromada o zvýšení",29
"usnést na tento zákon",29
"na pět až dvanáct",29
"být osvobodit od daň",29
"řízení podle tento zákon",29
"lhůta uvedený v odstavec",29
"uvést v jiný položka",29
"oddlužení plnění splátkový kalendář",29
"o způsob řešení úpadek",29
"den za účel sezónní",29
"být uvést v jiný",29
"o udělení dlouhodobý vízo",29
"na uspokojení pohledávka z",29
"a záznam telekomunikační provoz",29
"počet účastník zadávací řízení",29
"k daň v jiný",29
"věc v přídatný spoluvlastnictví",29
"příjmení a datum narození",29
"zvýšení základní kapitál z",29
"uvedený v věta první",29
"být občan evropský unie",28
"soud nebo jiný orgán",28
"obvod a městský část",28
"listina o manželský majetkový",28
"městský obvod a městský",28
"znalecký zpráva o fúze",28
"za ztráta na výdělek",28
"před zahájení insolvenční řízení",28
"dlouhodobý nebo trvalý pobyt",28
"omezení a přiměřený povinnost",28
"studijní obor zaměřený na",28
"návrh na povolení obnova",28
"předpokládaný hodnota veřejný zakázka",28
"rozhodnutí orgán veřejný moc",28
"uplynutí lhůta pro podání",28
"jehož území k úmrtí",28
"o vydání rozhodnutí o",28
"ministerstvo pro místní rozvoj",28
"po rozhodnutí o úpadek",28
"o podmíněný zastavení trestní",28
"v přípravný řízení soudce",28
"území k úmrtí dojít",28
"pro svolání valný hromada",28
"do jeden měsíc ode",28
"vzniknout povinnost přiznat daň",28
"uspokojení pohledávka z zajištění",27
"do právo autorský zasahovat",27
"vysokoškolský vzdělání v studijní",27
"tento zákon a stanova",27
"na základ rámcový dohoda",27
"nebo jiný orgán veřejný",27
"generální inspekce bezpečnostní sbor",27
"přímý hospodářský nebo obchodní",27
"rozpor s jiný právní",27
"vydání průkaz o povolení",27
"vysoký odborný vzdělání v",27
"přiměřený omezení a přiměřený",27
"vyvěsit na úřední deska",27
"informační systém evidence obyvatel",27
"pět až dvanáct léto",27
"pro účel tento ustanovení",27
"bez nárok na odpočet",27
"právnický nebo podnikající fyzický",27
"do obchodní rejstřík a",27
"hromada o zvýšení základní",27
"k uveřejnění způsob podle",27
"výsledek hospodaření nebo rozdíl",27
"pobyt na území český",27
"v soulad s právní",27
"nebo výhrada zpětný koupě",27
"změna některý další zákon",27
"prostřednictvím veřejný datový síť",27
"pro podání daňový přiznání",27
"do informační systém smluvní",27
"proti tento rozhodnutí být",27
"újma v peníze nebo",27
"odborný vzdělání v obor",27
"daň v zvláštní režim",27
"který nabýt plný svéprávnost",27
"v studijní program a",27
"který mít sídlo v",26
"jiný stát tvořící evropský",26
"léto nebo výjimečný trest",26
"nebo přímý hospodářský nebo",26
"nebo jeho rodinný příslušník",26
"se použít obdobně ustanovení",26
"takový čin za stav",26
"po nabytí právní moc",26
"daň bez nárok na",26
"o vydání zaměstnanecký karta",26
"vzdělání v obor vzdělání",26
"právní forma do obchodní",26
"nebo jiný právní předpis",26
"v rozpor s právní",26
"v průběh zdaňovací období",26
"od daň bez nárok",26
"právo nebo výhrada zpětný",26
"podle tento zákon a",26
"dopravní a technický infrastruktura",26
"služba v oblast oddlužení",26
"prodloužení platnost povolení k",26
"hospodaření nebo rozdíl mezi",26
"nebo rozdíl mezi příjem",26
"přímý nebo přímý hospodářský",26
"výkon rozhodnutí srážka z",26
"čin za stav ohrožení",26
"na tři léto nebo",26
"a v řízení před",26
"změna a doplnění některý",26
"pobyt v český republika",26
"důležitý pro trestní řízení",26
"území český republika a",26
"vzdělání v studijní program",26
"který se podávat daňový",26
"jiný opatření orgán obec",26
"který být fyzický osoba",26
"platnost průkaz o povolení",26
"do šest měsíc ode",25
"který se měnit směrnice",25
"nebo jiný věcný právo",25
"při zadávání veřejný zakázka",25
"po doba pobyt na",25
"pobyt za účel strpění",25
"povolení k dlouhodobý nebo",25
"v výše průměrný výdělek",25
"pobyt na území nebo",25
"první úkon v řízení",25
"k podání žádost o",25
"jednání být třeba nařizovat",25
"za který se podávat",25
"požívající výsada a imunita",25
"se pouze poznamenat do",25
"předseda vysoký správní soud",25
"se k on přihlížet",25
"rozhodnutí orgán právnický osoba",25
"k dlouhodobý nebo trvalý",25
"hospodářský nebo obchodní prospěch",25
"tento trest též propadnutí",25
"z zdroj v zahraničí",25
"moct mít vliv na",25
"v jehož obvod se",25
"o změna některý další",25
"který mít na území",25
"ručení omezený nebo akciový",25
"vlastnický právo k věc",25
"zkouška v obor vzdělání",25
"o podnikání na kapitálový",25
"forma do obchodní rejstřík",25
"dvacet léto nebo výjimečný",25
"v zvláštní režim jeden",25
"o vydání modrý karta",25
"cenný papír nebo zaknihovaný",25
"úřad obec s rozšířený",25
"v spojení s organizovaný",25
"předkupní právo nebo výhrada",25
"na osobní daňový účet",25
"plátce daň z přidaný",25
"územní a stavební řízení",25
"veřejný zakázka na služba",24
"tento zákon český republika",24
"zveřejnit způsob umožňující dálkový",24
"návrh zásada územní rozvoj",24
"na tento zákon český",24
"parlament se usnést na",24
"zápis přeměna do obchodní",24
"popřípadě vedle tento trest",24
"na ten mít právní",24
"ledaže se jednat o",24
"územní plánování a stavební",24
"žádost o udělení dlouhodobý",24
"být člen statutární orgán",24
"osoba požívající výsada a",24
"část územně členěný statutární",24
"vedle tento trest též",24
"evropský unie nebo jiný",24
"spojení s organizovaný skupina",24
"úhrada náklad spojený s",24
"zvláštní právní předpis nebo",24
"popřípadě hodně státní občanství",24
"daňový přiznání nebo dodatečný",24
"a za podmínka stanovený",24
"trest též propadnutí majetek",24
"obchodní korporace při rozdělení",24
"rozhlasový a televizní vysílání",24
"sídlo v český republika",24
"právní moc tento rozhodnutí",24
"omezený nebo akciový společnost",24
"na podpora výzkum a",24
"podat návrh na zahájení",24
"umístěný na území český",24
"seznam listina o manželský",24
"podle tento zákon nebo",24
"základní právo a svoboda",24
"právnický a fyzický osoba",24
"trest odnětí svoboda nebo",24
"den uskutečnění zdanitelný plnění",24
"být podat návrh na",24
"ten mít právní zájem",24
"pobyt za účel vědecký",24
"městský část územně členěný",24
"k dlouhodobý pobyt nebo",24
"základní kapitál z vlastní",24
"v soulad s tento",24
"obecní úřad obec s",24
"nástupnický obchodní korporace při",24
"řízení před správní orgán",24
"pouze poznamenat do spis",24
"prospěch organizovaný zločinecký skupina",23
"pro zápis do obchodní",23
"zajištění cizinec za účel",23
"u poplatník uvedený v",23
"o povinnost opustit území",23
"řízení z moc úřední",23
"úřední věstník evropský unie",23
"pokud tento zákon stanovit",23
"pro úmyslný trestný čin",23
"unie nebo jiný stát",23
"zvláštní právní předpis a",23
"s úředně ověřený podpis",23
"datum narození a bydliště",23
"v rozpor s zákon",23
"nebo jiný majetkový hodnota",23
"podání návrh na potrestání",23
"do zahraniční obchodní rejstřík",23
"pro řízení být příslušný",23
"rozhodnutí o návrh na",23
"uplynutí lhůta uvedený v",23
"osoba se dopustit přestupek",23
"podle dosavadní právní předpis",23
"měsíc následující po měsíc",23
"nebo závažný způsob narušit",23
"obchodní společnost nebo komanditní",23
"na veřejný zdravotní pojištění",23
"v výše rozdíl mezi",23
"člen statutární orgán nebo",23
"po zahájení insolvenční řízení",23
"ledaže společenský smlouva určit",23
"podat přihláška k registrace",23
"až dvacet léto nebo",23
"vypořádání společný jmění manžel",23
"o zahájení trestní stíhání",23
"plnění při poskytnutí služba",23
"opatření orgán obec v",23
"obchod s vojenský materiál",23
"právo na pojistný plnění",23
"zápis do veřejný seznam",23
"soulad s tento zákon",23
"uvedený na doklad o",23
"znalec pro ocenění jmění",23
"na sociální zabezpečení a",23
"odeslání nebo přeprava zboží",23
"nabýt právní moct rozhodnutí",23
"rozhodnutí soud první stupeň",23
"kapitál z vlastní zdroj",23
"pro zjištění základ daň",23
"vydaný jiný členský stát",23
"výkon právo a povinnost",23
"odčitatelný od základ daň",23
"osvědčení pro zápis do",23
"v prospěch organizovaný zločinecký",23
"opatřit se nebo jiný",22
"újma nebo na vydání",22
"na doklad o cestovní",22
"z příjem z závislý",22
"ten bez zbytečný odklad",22
"který odpovídat podmínka uvedený",22
"daňový rezident jiný členský",22
"majetkový újma nebo na",22
"jeden rok ode den",22
"muset být úředně ověřen",22
"dodatečný oprava základ daň",22
"zákon nebo jiný právní",22
"v soulad s zákon",22
"o změna právní forma",22
"můj se za ten",22
"s velký počet účastník",22
"za daň z přidaný",22
"a o změna zákon",22
"před zavlečení infekční onemocnění",22
"ustanovení občanský soudní řád",22
"návrh na obnova řízení",22
"o prohlášení za zvěstný",22
"odvolání proti rozhodnutí o",22
"jmenovitý nebo účetní hodnota",22
"záměr na životní prostředí",22
"povaha a závažnost spáchaný",22
"změna závazek z smlouva",22
"přiznání za zdaňovací období",22
"v společný jmění manžel",22
"doklad o zajištění ubytování",22
"zahájit jen na návrh",22
"vzniknout v souvislost s",22
"v lhůta uvedený v",22
"společnost nebo komanditní společnost",22
"odpovídat podmínka uvedený v",22
"lhůta pro podání daňový",22
"zadavatel v zadávací dokumentace",22
"který být právnický osoba",22
"ten platit obdobně pro",22
"v rozpor s zájem",22
"lhůta pro podání žádost",22
"snížení počet účastník zadávací",22
"zahraniční obchod s vojenský",22
"společný územní a stavební",22
"nebo adresa místo pobyt",22
"vzhledem k povaha a",22
"orgán územní samosprávný celek",22
"daňový přiznání za zdaňovací",22
"vlastnický právo k jednotka",22
"neplatnost usnesení valný hromada",22
"právo odstoupit od smlouva",22
"v přímý souvislost s",22
"podat žádost o vydání",22
"zákon a stanova pro",22
"se z on výpis",22
"rozhodnutí o stanovení daň",22
"žádost o udělení vízo",22
"přemístění sídlo do zahraničí",22
"být splnit podmínka pro",21
"se v insolvenční řízení",21
"kolektivní správce být povinen",21
